order_date,region,regional_manager,total_sales,total_profit,total_cogs,total_units,orders,profit_margin
2021-03-25,West,Sasha Ellington,83.7,3.35,80.35,5,1,0.04
2021-03-26,East,Rylee Sasa,43.7,18.37,25.33,7,3,0.4204
2021-03-26,West,Sasha Ellington,199.64,40.97,158.67,6,2,0.2052
2021-03-27,East,Rylee Sasa,17.64,8.11,9.53,4,1,0.4598
2021-03-27,South,Sam Abioye,1172.48,132.73,1039.75,7,2,0.1132
2021-03-27,West,Sasha Ellington,368.96,156.06,212.9,19,5,0.423
2021-03-28,Central,Neelam Nilam,571.22,-87.92,659.15,14,3,-0.1539
2021-03-29,Central,Neelam Nilam,120.76,27.83,92.92,6,2,0.2305
2021-03-29,South,Sam Abioye,79.96,27.99,51.97,5,1,0.3501
2021-03-31,Central,Neelam Nilam,139.45,-93.04,232.49,15,4,-0.6672
2021-03-31,West,Sasha Ellington,159.78,57.22,102.56,8,2,0.3581
2021-04-02,Central,Neelam Nilam,1273.61,326.28,947.33,9,5,0.2562
2021-04-02,East,Rylee Sasa,210.99,58.19,152.79,11,4,0.2758
2021-04-03,East,Rylee Sasa,1660.26,-250.15,1910.43,38,9,-0.1507
2021-04-03,South,Sam Abioye,157.79,-115.72,273.51,1,1,-0.7334
2021-04-03,West,Sasha Ellington,1156.0,122.05,1033.95,17,3,0.1056
2021-04-04,Central,Neelam Nilam,92.06,-16.35,108.41,22,5,-0.1776
2021-04-04,South,Sam Abioye,47.95,16.18,31.77,3,1,0.3374
2021-04-05,Central,Neelam Nilam,847.2,-1133.29,1980.49,14,2,-1.3377
2021-04-05,East,Rylee Sasa,60.24,19.34,40.9,9,3,0.321
2021-04-07,East,Rylee Sasa,388.08,147.4,240.68,6,2,0.3798
2021-04-07,West,Sasha Ellington,369.91,-13.87,383.78,3,1,-0.0375
2021-04-08,East,Rylee Sasa,156.71,44.36,112.35,7,2,0.2831
2021-04-08,West,Sasha Ellington,12.83,4.33,8.5,2,1,0.3375
2021-04-09,East,Rylee Sasa,513.73,159.32,354.41,9,3,0.3101
2021-04-09,South,Sam Abioye,121.89,24.41,97.47,5,2,0.2003
2021-04-09,West,Sasha Ellington,692.73,240.26,452.47,6,2,0.3468
2021-04-10,West,Sasha Ellington,40.74,0.41,40.33,3,1,0.0101
2021-04-11,Central,Neelam Nilam,1078.76,-132.55,1211.32,12,4,-0.1229
2021-04-11,West,Sasha Ellington,2113.92,93.85,2020.08,28,11,0.0444
2021-04-12,West,Sasha Ellington,35.21,2.64,32.57,1,1,0.075
2021-04-14,Central,Neelam Nilam,1483.53,481.09,1002.44,7,2,0.3243
2021-04-14,East,Rylee Sasa,379.55,-63.19,442.73,28,8,-0.1665
2021-04-14,South,Sam Abioye,2298.9,397.95,1900.95,19,4,0.1731
2021-04-15,East,Rylee Sasa,172.61,60.65,111.95,17,3,0.3514
2021-04-15,West,Sasha Ellington,2572.5,625.85,1946.65,17,5,0.2433
2021-04-16,Central,Neelam Nilam,753.96,95.63,658.33,36,13,0.1268
2021-04-16,East,Rylee Sasa,21.93,10.31,11.62,3,1,0.4701
2021-04-16,South,Sam Abioye,106.5,41.54,64.97,6,1,0.39
2021-04-16,West,Sasha Ellington,1124.57,67.36,1057.21,12,3,0.0599
2021-04-17,Central,Neelam Nilam,329.96,-564.98,894.94,6,2,-1.7123
2021-04-18,Central,Neelam Nilam,298.42,125.48,172.94,5,2,0.4205
2021-04-18,South,Sam Abioye,896.31,381.66,514.65,11,3,0.4258
2021-04-19,South,Sam Abioye,893.09,228.9,664.19,13,4,0.2563
2021-04-20,West,Sasha Ellington,152.92,24.45,128.47,6,2,0.1599
2021-04-22,East,Rylee Sasa,25.99,7.54,18.45,1,1,0.2901
2021-04-23,Central,Neelam Nilam,679.23,13.4,665.83,15,4,0.0197
2021-04-23,East,Rylee Sasa,206.43,90.83,115.6,3,1,0.44
2021-04-23,West,Sasha Ellington,35.28,14.35,20.93,5,2,0.4067
2021-04-24,Central,Neelam Nilam,408.42,-5.83,414.26,2,1,-0.0143
2021-04-24,South,Sam Abioye,1195.9,-207.56,1403.46,13,5,-0.1736
2021-04-24,West,Sasha Ellington,485.79,78.49,407.29,12,4,0.1616
2021-04-25,East,Rylee Sasa,2670.19,974.31,1695.88,14,3,0.3649
2021-04-25,West,Sasha Ellington,49.4,4.0,45.4,7,2,0.081
2021-04-26,Central,Neelam Nilam,4044.36,1911.47,2132.91,14,5,0.4726
2021-04-27,East,Rylee Sasa,7.97,2.89,5.08,2,1,0.3626
2021-04-28,Central,Neelam Nilam,213.12,-15.22,228.34,5,1,-0.0714
2021-04-28,East,Rylee Sasa,1304.13,-166.54,1470.67,27,6,-0.1277
2021-04-28,West,Sasha Ellington,54.45,11.43,43.02,8,2,0.2099
2021-04-29,South,Sam Abioye,277.63,29.74,247.88,12,3,0.1071
2021-04-29,West,Sasha Ellington,173.31,36.47,136.83,9,4,0.2104
2021-04-30,Central,Neelam Nilam,167.24,16.85,150.39,6,2,0.1008
2021-05-01,East,Rylee Sasa,1058.19,-20.42,1078.63,25,7,-0.0193
2021-05-01,West,Sasha Ellington,1140.58,275.9,864.67,20,6,0.2419
2021-05-02,Central,Neelam Nilam,1094.56,144.63,949.92,21,3,0.1321
2021-05-02,East,Rylee Sasa,26.8,12.86,13.94,2,1,0.4799
2021-05-05,Central,Neelam Nilam,259.95,-25.99,285.94,6,2,-0.1
2021-05-05,South,Sam Abioye,45.68,21.01,24.67,2,1,0.4599
2021-05-06,Central,Neelam Nilam,545.91,138.98,406.93,8,3,0.2546
2021-05-06,East,Rylee Sasa,3430.8,1102.41,2328.39,26,7,0.3213
2021-05-06,West,Sasha Ellington,5.25,0.59,4.66,2,1,0.1124
2021-05-07,South,Sam Abioye,48.81,23.92,24.89,3,1,0.4901
2021-05-08,Central,Neelam Nilam,107.75,-187.94,295.7,7,2,-1.7442
2021-05-08,West,Sasha Ellington,46.69,-2.92,49.61,4,1,-0.0625
2021-05-09,West,Sasha Ellington,191.97,16.8,175.17,7,1,0.0875
2021-05-10,Central,Neelam Nilam,769.02,95.29,673.73,17,3,0.1239
2021-05-10,East,Rylee Sasa,36.63,9.89,26.74,3,1,0.27
2021-05-10,West,Sasha Ellington,254.69,42.42,212.28,14,4,0.1666
2021-05-11,Central,Neelam Nilam,238.38,22.28,216.11,6,2,0.0935
2021-05-12,East,Rylee Sasa,570.5,113.42,457.07,29,7,0.1988
2021-05-12,West,Sasha Ellington,2570.71,207.47,2363.24,17,5,0.0807
2021-05-13,East,Rylee Sasa,51.97,-10.39,62.36,2,1,-0.1999
2021-05-13,South,Sam Abioye,17.94,8.79,9.15,3,1,0.49
2021-05-14,South,Sam Abioye,255.97,32.0,223.97,4,1,0.125
2021-05-15,Central,Neelam Nilam,47.37,-44.99,92.36,8,2,-0.9498
2021-05-15,East,Rylee Sasa,87.1,31.24,55.86,14,2,0.3587
2021-05-16,West,Sasha Ellington,10.86,5.32,5.54,2,1,0.4899
2021-05-18,South,Sam Abioye,169.55,15.48,154.06,8,2,0.0913
2021-05-19,Central,Neelam Nilam,20.77,-52.96,73.73,8,1,-2.5498
2021-05-19,East,Rylee Sasa,24.59,-18.03,42.62,2,1,-0.7332
2021-05-19,West,Sasha Ellington,26.98,8.77,18.21,4,1,0.3251
2021-05-20,West,Sasha Ellington,3862.1,425.82,3436.28,22,4,0.1103
2021-05-21,Central,Neelam Nilam,925.83,265.29,660.54,14,2,0.2865
2021-05-21,East,Rylee Sasa,51.45,13.89,37.56,3,1,0.27
2021-05-21,South,Sam Abioye,186.69,87.74,98.95,3,1,0.47
2021-05-21,West,Sasha Ellington,140.98,0.9,140.08,11,2,0.0064
2021-05-22,Central,Neelam Nilam,610.31,-176.6,786.9,13,2,-0.2894
2021-05-23,Central,Neelam Nilam,411.92,118.02,293.9,16,5,0.2865
2021-05-23,South,Sam Abioye,467.04,58.38,408.66,4,1,0.125
2021-05-23,West,Sasha Ellington,860.46,89.43,771.03,16,2,0.1039
2021-05-24,Central,Neelam Nilam,610.16,-113.1,723.25,8,3,-0.1854
2021-05-24,South,Sam Abioye,352.16,114.55,237.6,14,4,0.3253
2021-05-24,West,Sasha Ellington,20.24,7.89,12.35,1,1,0.3898
2021-05-26,East,Rylee Sasa,787.52,242.29,545.23,27,8,0.3077
2021-05-26,West,Sasha Ellington,6.63,1.79,4.84,3,1,0.27
2021-05-27,Central,Neelam Nilam,12.39,5.7,6.69,3,1,0.46
2021-05-27,East,Rylee Sasa,451.73,-58.6,510.32,15,4,-0.1297
2021-05-27,West,Sasha Ellington,740.73,219.01,521.72,13,3,0.2957
2021-05-28,East,Rylee Sasa,529.14,51.16,477.98,8,3,0.0967
2021-05-28,South,Sam Abioye,151.96,36.47,115.49,4,1,0.24
2021-05-29,Central,Neelam Nilam,2802.35,758.45,2043.9,22,5,0.2706
2021-05-29,East,Rylee Sasa,375.02,163.82,211.2,20,5,0.4368
2021-05-29,South,Sam Abioye,10.27,1.16,9.12,3,1,0.113
2021-05-29,West,Sasha Ellington,1990.49,305.48,1685.01,31,6,0.1535
2021-05-30,Central,Neelam Nilam,822.44,294.72,527.72,35,6,0.3583
2021-05-30,West,Sasha Ellington,11.76,5.76,6.0,2,1,0.4898
2021-06-02,East,Rylee Sasa,65.72,26.31,39.41,7,2,0.4003
2021-06-02,West,Sasha Ellington,1126.59,438.51,688.08,9,4,0.3892
2021-06-03,Central,Neelam Nilam,10.56,4.75,5.81,2,1,0.4498
2021-06-03,East,Rylee Sasa,1522.64,169.18,1353.46,9,1,0.1111
2021-06-05,East,Rylee Sasa,52.25,-2.14,54.38,12,3,-0.041
2021-06-05,West,Sasha Ellington,7.52,2.63,4.89,5,1,0.3497
2021-06-06,Central,Neelam Nilam,145.51,-392.86,538.36,5,2,-2.6999
2021-06-06,South,Sam Abioye,937.61,96.52,841.09,35,7,0.1029
2021-06-07,Central,Neelam Nilam,12.96,6.22,6.74,2,1,0.4799
2021-06-07,South,Sam Abioye,288.42,-21.38,309.8,16,4,-0.0741
2021-06-07,West,Sasha Ellington,495.74,101.16,394.57,7,2,0.2041
2021-06-09,South,Sam Abioye,3373.56,-60.61,3434.18,47,13,-0.018
2021-06-10,Central,Neelam Nilam,24.56,6.88,17.68,2,1,0.2801
2021-06-10,East,Rylee Sasa,93.94,16.67,77.27,11,3,0.1775
2021-06-10,South,Sam Abioye,55.98,4.2,51.79,2,1,0.075
2021-06-11,East,Rylee Sasa,109.5,32.57,76.93,7,4,0.2974
2021-06-11,South,Sam Abioye,982.77,349.39,633.38,18,5,0.3555
2021-06-11,West,Sasha Ellington,36.62,13.73,22.89,3,1,0.3749
2021-06-12,East,Rylee Sasa,51.07,5.11,45.96,6,1,0.1001
2021-06-13,South,Sam Abioye,11.67,-0.73,12.4,1,1,-0.0626
2021-06-13,West,Sasha Ellington,722.48,-19.41,741.89,17,5,-0.0269
2021-06-14,Central,Neelam Nilam,253.34,-6.17,259.51,8,3,-0.0244
2021-06-14,East,Rylee Sasa,3190.57,1179.56,2011.02,7,3,0.3697
2021-06-16,South,Sam Abioye,1730.11,313.45,1416.65,27,9,0.1812
2021-06-16,West,Sasha Ellington,152.99,30.69,122.29,19,5,0.2006
2021-06-17,Central,Neelam Nilam,234.71,4.75,229.96,7,2,0.0202
2021-06-17,East,Rylee Sasa,5.9,1.99,3.91,2,1,0.3373
2021-06-17,West,Sasha Ellington,205.73,94.87,110.86,6,3,0.4611
2021-06-18,East,Rylee Sasa,319.98,92.0,227.99,2,1,0.2875
2021-06-18,West,Sasha Ellington,509.56,163.46,346.1,16,3,0.3208
2021-06-19,South,Sam Abioye,107.98,37.79,70.18,3,1,0.35
2021-06-20,Central,Neelam Nilam,796.43,-525.64,1322.07,7,1,-0.66
2021-06-20,East,Rylee Sasa,1217.57,456.59,760.98,2,1,0.375
2021-06-20,West,Sasha Ellington,4.96,2.33,2.63,4,1,0.4698
2021-06-21,South,Sam Abioye,268.4,102.01,166.39,7,3,0.3801
2021-06-21,West,Sasha Ellington,568.56,52.51,516.06,12,4,0.0924
2021-06-23,Central,Neelam Nilam,128.92,-4.36,133.28,16,4,-0.0338
2021-06-23,East,Rylee Sasa,109.36,-6.72,116.08,8,2,-0.0614
2021-06-23,West,Sasha Ellington,618.79,99.47,519.33,13,4,0.1607
2021-06-24,Central,Neelam Nilam,1013.78,118.14,895.64,5,2,0.1165
2021-06-24,East,Rylee Sasa,43.06,15.61,27.45,9,1,0.3625
2021-06-24,South,Sam Abioye,535.36,174.26,361.1,16,4,0.3255
2021-06-26,East,Rylee Sasa,498.49,-371.25,869.74,9,2,-0.7447
2021-06-26,South,Sam Abioye,260.31,97.23,163.09,7,2,0.3735
2021-06-26,West,Sasha Ellington,627.66,48.62,579.04,6,2,0.0775
2021-06-27,Central,Neelam Nilam,269.98,72.89,197.09,2,1,0.27
2021-06-27,East,Rylee Sasa,162.94,14.3,148.64,6,3,0.0878
2021-06-30,Central,Neelam Nilam,1338.59,-125.11,1463.71,22,6,-0.0935
2021-06-30,East,Rylee Sasa,19.44,9.33,10.11,3,1,0.4799
2021-06-30,South,Sam Abioye,273.86,64.95,208.92,21,6,0.2372
2021-07-01,East,Rylee Sasa,458.07,29.54,428.54,13,3,0.0645
2021-07-01,South,Sam Abioye,365.91,149.49,216.42,4,2,0.4085
2021-07-02,Central,Neelam Nilam,1099.96,285.99,813.97,4,1,0.26
2021-07-02,East,Rylee Sasa,15.48,4.49,10.99,3,1,0.2901
2021-07-02,West,Sasha Ellington,22.85,7.43,15.42,2,1,0.3252
2021-07-03,Central,Neelam Nilam,19.0,8.93,10.07,5,1,0.47
2021-07-03,East,Rylee Sasa,73.78,-0.26,74.04,6,2,-0.0035
2021-07-03,South,Sam Abioye,28.87,-0.03,28.9,12,4,-0.001
2021-07-04,East,Rylee Sasa,1209.46,292.8,916.66,21,6,0.2421
2021-07-04,West,Sasha Ellington,170.35,-17.04,187.39,3,1,-0.1
2021-07-06,Central,Neelam Nilam,21.12,6.6,14.52,5,1,0.3125
2021-07-07,Central,Neelam Nilam,48.63,-121.58,170.21,2,1,-2.5001
2021-07-07,East,Rylee Sasa,1533.32,537.58,995.75,49,12,0.3506
2021-07-07,South,Sam Abioye,5.16,0.84,4.32,3,1,0.1628
2021-07-08,West,Sasha Ellington,43.29,10.73,32.56,5,2,0.2479
2021-07-09,East,Rylee Sasa,1813.63,220.72,1592.91,46,9,0.1217
2021-07-09,West,Sasha Ellington,128.32,47.91,80.41,6,2,0.3734
2021-07-10,Central,Neelam Nilam,2052.57,140.7,1911.87,32,8,0.0685
2021-07-11,Central,Neelam Nilam,41.57,-66.51,108.08,6,1,-1.6
2021-07-11,East,Rylee Sasa,1952.81,330.8,1622.01,13,3,0.1694
2021-07-11,South,Sam Abioye,38.88,18.66,20.22,6,1,0.4799
2021-07-12,West,Sasha Ellington,860.92,-200.0,1060.91,15,4,-0.2323
2021-07-14,East,Rylee Sasa,980.53,343.93,636.61,27,5,0.3508
2021-07-14,West,Sasha Ellington,2048.85,-140.39,2189.25,9,2,-0.0685
2021-07-15,Central,Neelam Nilam,20.69,5.47,15.23,7,2,0.2644
2021-07-15,South,Sam Abioye,231.92,5.8,226.12,5,1,0.025
2021-07-15,West,Sasha Ellington,195.47,-13.8,209.26,2,1,-0.0706
2021-07-16,East,Rylee Sasa,152.46,41.68,110.78,6,4,0.2734
2021-07-16,West,Sasha Ellington,519.96,176.79,343.17,4,1,0.34
2021-07-17,West,Sasha Ellington,2.03,-1.35,3.38,1,1,-0.665
2021-07-18,Central,Neelam Nilam,2693.16,109.86,2583.33,41,10,0.0408
2021-07-21,East,Rylee Sasa,208.27,74.6,133.67,9,3,0.3582
2021-07-22,South,Sam Abioye,525.95,174.01,351.94,32,4,0.3308
2021-07-23,East,Rylee Sasa,25.18,-18.46,43.64,4,1,-0.7331
2021-07-23,South,Sam Abioye,457.04,88.67,368.37,11,2,0.194
2021-07-23,West,Sasha Ellington,1912.81,130.16,1782.65,16,5,0.068
2021-07-24,East,Rylee Sasa,10.37,3.63,6.74,2,1,0.35
2021-07-24,West,Sasha Ellington,958.86,-74.97,1033.83,22,6,-0.0782
2021-07-25,South,Sam Abioye,29.97,0.3,29.67,3,1,0.01
2021-07-28,Central,Neelam Nilam,217.67,45.15,172.52,10,2,0.2074
2021-07-28,West,Sasha Ellington,226.13,98.79,127.35,13,3,0.4369
2021-07-29,Central,Neelam Nilam,52.59,15.78,36.81,3,1,0.3001
2021-07-29,East,Rylee Sasa,3419.87,480.63,2939.24,17,3,0.1405
2021-07-29,South,Sam Abioye,239.7,105.47,134.23,6,1,0.44
2021-07-30,West,Sasha Ellington,1011.7,-172.51,1184.21,10,2,-0.1705
2021-07-31,East,Rylee Sasa,448.21,107.52,340.69,8,4,0.2399
2021-07-31,West,Sasha Ellington,842.27,-144.67,986.94,8,3,-0.1718
2021-08-03,Central,Neelam Nilam,72.65,-19.78,92.42,16,4,-0.2723
2021-08-04,Central,Neelam Nilam,494.87,-81.35,576.23,16,5,-0.1644
2021-08-05,Central,Neelam Nilam,241.34,47.13,194.21,7,2,0.1953
2021-08-05,East,Rylee Sasa,184.38,30.85,153.53,19,2,0.1673
2021-08-05,South,Sam Abioye,520.03,160.27,359.76,5,2,0.3082
2021-08-05,West,Sasha Ellington,22.45,7.58,14.88,4,2,0.3376
2021-08-06,East,Rylee Sasa,681.43,284.23,397.2,12,4,0.4171
2021-08-06,West,Sasha Ellington,158.67,15.82,142.86,5,3,0.0997
2021-08-07,Central,Neelam Nilam,1334.03,186.25,1147.78,12,4,0.1396
2021-08-07,East,Rylee Sasa,3539.76,873.69,2666.07,41,12,0.2468
2021-08-07,South,Sam Abioye,4.61,1.67,2.94,2,1,0.3623
2021-08-08,Central,Neelam Nilam,139.69,63.32,76.37,13,4,0.4533
2021-08-08,West,Sasha Ellington,711.78,21.89,689.9,15,3,0.0308
2021-08-09,East,Rylee Sasa,149.96,37.61,112.35,4,2,0.2508
2021-08-09,South,Sam Abioye,46.15,12.11,34.04,3,1,0.2624
2021-08-11,Central,Neelam Nilam,11.36,5.57,5.79,4,1,0.4903
2021-08-11,East,Rylee Sasa,422.86,15.86,407.0,3,1,0.0375
2021-08-11,South,Sam Abioye,70.32,10.8,59.53,10,2,0.1536
2021-08-11,West,Sasha Ellington,82.36,23.62,58.74,8,2,0.2868
2021-08-13,West,Sasha Ellington,497.59,108.5,389.09,12,3,0.2181
2021-08-14,East,Rylee Sasa,1178.6,-317.56,1496.15,30,9,-0.2694
2021-08-14,West,Sasha Ellington,2200.32,319.17,1881.16,16,4,0.1451
2021-08-15,East,Rylee Sasa,52.2,23.49,28.71,9,1,0.45
2021-08-15,West,Sasha Ellington,329.44,-23.0,352.45,16,4,-0.0698
2021-08-19,East,Rylee Sasa,1474.72,-285.8,1760.52,22,8,-0.1938
2021-08-19,South,Sam Abioye,53.28,18.24,35.04,15,2,0.3423
2021-08-19,West,Sasha Ellington,1299.53,120.35,1179.17,18,6,0.0926
2021-08-20,East,Rylee Sasa,66.63,23.89,42.75,10,2,0.3585
2021-08-21,Central,Neelam Nilam,59.85,-4.89,64.75,16,4,-0.0817
2021-08-21,South,Sam Abioye,1142.43,364.36,778.07,30,7,0.3189
2021-08-22,Central,Neelam Nilam,2645.02,-133.19,2778.21,29,4,-0.0504
2021-08-22,East,Rylee Sasa,794.66,-3.96,798.63,16,6,-0.005
2021-08-22,South,Sam Abioye,3747.93,1605.7,2142.23,14,3,0.4284
2021-08-22,West,Sasha Ellington,7.15,0.72,6.44,3,1,0.1007
2021-08-23,Central,Neelam Nilam,31.78,-26.61,58.38,8,3,-0.8373
2021-08-23,West,Sasha Ellington,146.74,34.26,112.49,5,2,0.2335
2021-08-25,West,Sasha Ellington,639.97,156.97,483.01,13,5,0.2453
2021-08-26,Central,Neelam Nilam,4003.4,941.23,3062.17,11,3,0.2351
2021-08-26,East,Rylee Sasa,470.36,122.29,348.07,11,1,0.26
2021-08-26,West,Sasha Ellington,2017.54,356.64,1660.9,26,6,0.1768
2021-08-27,Central,Neelam Nilam,246.5,47.08,199.42,9,2,0.191
2021-08-29,Central,Neelam Nilam,20.96,6.81,14.15,4,1,0.3249
2021-08-29,West,Sasha Ellington,2580.84,413.65,2167.18,30,6,0.1603
2021-08-30,East,Rylee Sasa,1388.46,409.86,978.61,14,4,0.2952
2021-08-30,West,Sasha Ellington,979.1,342.08,637.02,7,3,0.3494
2021-09-01,Central,Neelam Nilam,7.5,3.6,3.9,2,1,0.48
2021-09-01,East,Rylee Sasa,1113.54,-20.53,1134.05,14,6,-0.0184
2021-09-01,South,Sam Abioye,200.98,62.81,138.18,7,1,0.3125
2021-09-01,West,Sasha Ellington,552.88,136.99,415.89,17,6,0.2478
2021-09-02,Central,Neelam Nilam,134.38,6.72,127.66,3,1,0.05
2021-09-02,East,Rylee Sasa,7.66,-6.12,13.78,4,1,-0.799
2021-09-02,South,Sam Abioye,919.49,258.28,661.21,14,4,0.2809
2021-09-02,West,Sasha Ellington,9.76,-6.83,16.6,2,1,-0.6998
2021-09-03,Central,Neelam Nilam,132.86,-27.46,160.32,22,5,-0.2067
2021-09-03,South,Sam Abioye,67.96,12.23,55.73,4,1,0.18
2021-09-03,West,Sasha Ellington,733.28,-15.84,749.12,13,3,-0.0216
2021-09-04,East,Rylee Sasa,618.13,163.88,454.25,5,3,0.2651
2021-09-04,South,Sam Abioye,143.28,42.45,100.83,16,4,0.2963
2021-09-04,West,Sasha Ellington,244.24,95.0,149.23,9,3,0.389
2021-09-05,Central,Neelam Nilam,47.52,-2.04,49.55,2,1,-0.0429
2021-09-05,East,Rylee Sasa,2062.48,-69.48,2131.98,38,11,-0.0337
2021-09-05,South,Sam Abioye,140.74,12.31,128.42,4,1,0.0875
2021-09-05,West,Sasha Ellington,671.93,20.16,651.77,7,1,0.03
2021-09-06,South,Sam Abioye,21.36,8.12,13.24,8,1,0.3801
2021-09-06,West,Sasha Ellington,68.28,12.72,55.56,11,2,0.1863
2021-09-08,Central,Neelam Nilam,194.83,4.45,190.38,4,2,0.0228
2021-09-08,East,Rylee Sasa,708.82,226.9,481.92,15,4,0.3201
2021-09-08,West,Sasha Ellington,512.08,52.31,459.77,16,3,0.1022
2021-09-09,East,Rylee Sasa,1481.64,331.0,1150.64,29,9,0.2234
2021-09-09,West,Sasha Ellington,480.49,136.95,343.54,23,4,0.285
2021-09-10,East,Rylee Sasa,685.84,110.8,575.05,19,8,0.1616
2021-09-10,West,Sasha Ellington,21.98,8.57,13.41,2,1,0.3899
2021-09-11,Central,Neelam Nilam,1894.05,400.99,1493.06,16,4,0.2117
2021-09-11,East,Rylee Sasa,2.41,-2.01,4.42,1,1,-0.834
2021-09-11,South,Sam Abioye,212.95,34.42,178.53,14,3,0.1616
2021-09-11,West,Sasha Ellington,1336.35,272.58,1063.77,23,6,0.204
2021-09-12,Central,Neelam Nilam,25.9,12.69,13.21,5,1,0.49
2021-09-12,East,Rylee Sasa,1884.14,592.24,1291.9,17,3,0.3143
2021-09-12,South,Sam Abioye,269.49,5.39,264.1,3,1,0.02
2021-09-12,West,Sasha Ellington,1082.89,110.15,972.73,8,2,0.1017
2021-09-13,Central,Neelam Nilam,215.18,19.72,195.46,10,2,0.0916
2021-09-13,East,Rylee Sasa,289.97,5.03,284.94,12,5,0.0173
2021-09-13,South,Sam Abioye,2030.69,515.03,1515.66,22,7,0.2536
2021-09-14,South,Sam Abioye,31.12,14.63,16.49,4,1,0.4701
2021-09-15,Central,Neelam Nilam,28.53,-20.63,49.16,5,2,-0.7231
2021-09-15,East,Rylee Sasa,11351.87,-1207.92,12559.81,70,18,-0.1064
2021-09-15,South,Sam Abioye,87.17,10.9,76.27,3,1,0.125
2021-09-15,West,Sasha Ellington,57.43,23.37,34.06,8,2,0.4069
2021-09-16,East,Rylee Sasa,2503.82,497.44,2006.38,21,5,0.1987
2021-09-16,South,Sam Abioye,717.12,152.39,564.73,9,1,0.2125
2021-09-16,West,Sasha Ellington,703.38,129.1,574.28,32,8,0.1835
2021-09-17,East,Rylee Sasa,279.86,134.33,145.53,14,1,0.48
2021-09-17,South,Sam Abioye,128.32,27.57,100.75,6,2,0.2149
2021-09-17,West,Sasha Ellington,92.2,32.9,59.3,10,3,0.3568
2021-09-18,Central,Neelam Nilam,2.81,-4.49,7.3,3,1,-1.5979
2021-09-18,East,Rylee Sasa,123.53,54.68,68.85,13,3,0.4426
2021-09-18,South,Sam Abioye,1664.13,-972.05,2636.18,10,2,-0.5841
2021-09-18,West,Sasha Ellington,45.58,16.52,29.06,11,1,0.3624
2021-09-19,Central,Neelam Nilam,1322.78,187.57,1135.21,19,5,0.1418
2021-09-19,East,Rylee Sasa,1218.14,303.14,915.01,7,3,0.2489
2021-09-19,South,Sam Abioye,3631.96,756.01,2875.95,37,9,0.2082
2021-09-19,West,Sasha Ellington,809.18,50.47,758.71,12,3,0.0624
2021-09-20,East,Rylee Sasa,673.58,-1.46,675.05,8,2,-0.0022
2021-09-20,South,Sam Abioye,843.88,-39.23,883.12,20,7,-0.0465
2021-09-20,West,Sasha Ellington,266.04,69.79,196.25,5,2,0.2623
2021-09-22,Central,Neelam Nilam,2245.28,614.83,1630.45,20,3,0.2738
2021-09-22,East,Rylee Sasa,144.51,31.19,113.33,19,7,0.2158
2021-09-22,South,Sam Abioye,517.5,155.25,362.25,6,1,0.3
2021-09-22,West,Sasha Ellington,1313.3,375.16,938.14,25,8,0.2857
2021-09-23,Central,Neelam Nilam,128.74,12.87,115.87,7,1,0.1
2021-09-23,East,Rylee Sasa,1340.64,550.4,790.24,31,11,0.4106
2021-09-23,South,Sam Abioye,22.55,-4.94,27.49,8,4,-0.2191
2021-09-23,West,Sasha Ellington,1541.83,300.35,1241.47,13,5,0.1948
2021-09-24,Central,Neelam Nilam,1116.48,372.68,743.8,12,2,0.3338
2021-09-24,East,Rylee Sasa,960.42,242.82,717.6,28,6,0.2528
2021-09-24,West,Sasha Ellington,1645.36,57.26,1588.1,53,12,0.0348
2021-09-25,Central,Neelam Nilam,81.69,-18.17,99.86,14,4,-0.2224
2021-09-25,South,Sam Abioye,2026.78,631.27,1395.52,17,2,0.3115
2021-09-25,West,Sasha Ellington,274.49,109.76,164.73,11,4,0.3999
2021-09-26,East,Rylee Sasa,601.5,165.63,435.87,8,2,0.2754
2021-09-26,West,Sasha Ellington,456.86,121.66,335.22,25,9,0.2663
2021-09-29,Central,Neelam Nilam,111.76,-1.77,113.53,8,2,-0.0158
2021-09-29,East,Rylee Sasa,334.43,103.92,230.51,7,2,0.3107
2021-09-29,West,Sasha Ellington,712.22,67.55,644.68,6,2,0.0948
2021-09-30,East,Rylee Sasa,289.69,127.06,162.63,19,6,0.4386
2021-09-30,South,Sam Abioye,7.38,-5.41,12.79,5,1,-0.7331
2021-09-30,West,Sasha Ellington,972.19,169.13,803.08,38,8,0.174
2021-10-01,East,Rylee Sasa,154.55,-38.67,193.22,12,5,-0.2502
2021-10-01,West,Sasha Ellington,120.67,18.45,102.21,2,1,0.1529
2021-10-02,East,Rylee Sasa,85.68,13.75,71.93,7,2,0.1605
2021-10-02,South,Sam Abioye,392.94,43.22,349.72,3,1,0.11
2021-10-02,West,Sasha Ellington,26.96,7.01,19.95,2,1,0.26
2021-10-03,East,Rylee Sasa,418.59,74.67,343.92,12,3,0.1784
2021-10-03,South,Sam Abioye,75.04,22.46,52.58,6,2,0.2993
2021-10-03,West,Sasha Ellington,357.46,-118.42,475.88,5,2,-0.3313
2021-10-06,Central,Neelam Nilam,76.22,-70.4,146.62,5,2,-0.9236
2021-10-06,West,Sasha Ellington,145.9,62.74,83.16,5,1,0.43
2021-10-07,Central,Neelam Nilam,1396.35,241.6,1154.76,26,6,0.173
